day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,mean_virtue,mean_eudaimonia,swf_utility,swf_eudaimonia,swf_penalty,social_welfare,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,nudge_N1,nudge_N2,nudge_N3,nudge_N4,nudge_N5,label
1,A,0,0.6436,0.3688,0.2628,0.0112,3,0,0,0.1777,0.2734,0,1.0,0,0.0,0.4999999999999999,30.0,15.0,0.0,45.0,0.3588,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A
2,A,0,0.6261,0.3768,0.2698,0.0292,5,0,0,0.1592,0.3287,0,0.8,0,0.0,0.5013333333333334,30.0,15.04,0.0,45.04,0.4556,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,A
3,A,0,0.5936,0.3848,0.2768,0.0692,11,0,0,0.1536,0.3393,0,0.6364,0,0.0,0.5066666666666666,30.0,15.2,0.0,45.2,0.496,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,A
4,A,0,0.5686,0.3928,0.2838,0.0957,8,0,0,0.1423,0.4074,0,0.75,0,0.0,0.5100000000000001,30.0,15.3,0.0,45.3,0.496,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,A
5,A,0,0.5461,0.4008,0.2908,0.1175,7,0,0,0.1293,0.5072,0,0.5714,0,0.0,0.5126666666666667,30.0,15.38,0.0,45.38,0.496,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,34,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,A
6,A,0,0.5211,0.4088,0.2978,0.1427,8,0,0,0.1211,0.5774,0,0.5,0,0.0,0.5159999999999999,30.0,15.48,0.0,45.48,0.496,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,42,0,0,6,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,A
7,A,0,0.5111,0.4168,0.3048,0.1435,2,0,0,0.1046,0.6194,0,1.0,0,0.0,0.5153333333333335,30.0,15.46,0.0,45.46,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,44,0,0,7,0,0,3,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,A
8,A,0,0.4836,0.4248,0.3118,0.1712,9,0,0,0.1042,0.6486,0,0.4444,0,0.0,0.5193333333333333,30.0,15.58,0.0,45.58,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,53,0,0,8,0,0,4,0,2,8,0,2,0,0,0,0,0,0,0,0,0,0,A
9,A,0,0.4636,0.4328,0.3188,0.1867,6,0,0,0.0988,0.6981,0,0.6667,0,0.0,0.5213333333333333,30.0,15.64,0.0,45.64,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,59,0,0,9,0,0,5,0,3,9,0,3,0,0,0,0,0,0,0,0,0,0,A
10,A,0,0.4311,0.4408,0.3258,0.222,11,0,0,0.1067,0.7158,0,0.4545,0,0.0,0.5266666666666667,30.0,15.8,0.0,45.8,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,70,0,0,10,0,0,6,0,4,10,0,4,0,0,0,0,0,0,0,0,0,0,A
11,A,0,0.4086,0.4488,0.3328,0.241,7,0,0,0.1077,0.7337,0,0.8571,0,0.0,0.5293333333333333,30.0,15.88,0.0,45.88,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,77,0,0,11,0,0,7,0,5,11,0,5,0,0,0,0,0,0,0,0,0,0,A
12,A,0,0.3812,0.4568,0.3398,0.268,9,0,0,0.1127,0.7528,0,0.6667,0,0.0,0.5333333333333333,30.0,16.0,0.0,46.0,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,86,0,0,12,0,0,8,0,6,12,0,6,0,0,0,0,0,0,0,0,0,0,A
13,A,0,0.356,0.4648,0.3468,0.295,9,0,0,0.1177,0.7541,0,0.6667,0,0.0,0.5373333333333333,30.0,16.12,0.0,46.12,0.496,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,95,0,0,13,0,0,9,0,7,13,0,7,0,0,0,0,0,0,0,0,0,0,A
