day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,mean_virtue,mean_eudaimonia,swf_utility,swf_eudaimonia,swf_penalty,social_welfare,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,nudge_N1,nudge_N2,nudge_N3,nudge_N4,nudge_N5,label
1,B,0,0.6551,0.3636,0.2594,0.015,4,12,0,0.1967,0.2609,0,0.4444,5,0.007142857142857143,0.5094076709471527,35.0,17.8293,0.0,52.8293,0.5784,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B
2,B,0,0.6631,0.3648,0.2619,0.0215,2,17,0,0.2014,0.3287,0,0.45,6,0.015714285714285715,0.5207168746657261,35.0,18.2251,0.0,53.2251,0.616,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B
3,B,0,0.6586,0.3642,0.2631,0.054,9,20,0,0.2272,0.3745,0,0.2812,8,0.02714285714285715,0.5393159058774781,35.0,18.8761,0.0,53.8761,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B
4,B,0,0.6656,0.3647,0.2651,0.0622,3,17,0,0.238,0.4363,1,0.3478,9,0.04,0.5518660816814076,35.0,19.3153,0.0201,54.2146,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,4,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B
5,B,0,0.6543,0.366,0.2676,0.0935,9,18,0,0.257,0.4906,2,0.3333,7,0.05000000000000001,0.5645647154435329,35.0,19.7598,0.0364,54.5776,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,5,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B
6,B,0,0.6522,0.3676,0.2704,0.1082,5,16,0,0.2698,0.5284,3,0.3182,9,0.06285714285714285,0.5734472821242426,35.0,20.0707,0.0664,54.7385,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,6,6,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,B
7,B,0,0.6583,0.3688,0.2729,0.1107,2,15,0,0.2806,0.5557,3,0.4,7,0.07285714285714287,0.5810136379312302,35.0,20.3355,0.0664,55.0033,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,34,7,7,7,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,B
8,B,0,0.6509,0.3708,0.2759,0.1325,7,15,0,0.2973,0.5809,4,0.3913,4,0.07857142857142857,0.5876602728398501,35.0,20.5681,0.1018,55.0593,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,41,8,8,8,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,B
9,B,0,0.6453,0.374,0.2796,0.145,5,12,0,0.3079,0.6003,6,0.3333,6,0.08714285714285713,0.5892824704957488,35.0,20.6249,0.1779,54.7355,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,46,9,9,9,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,B
10,B,0,0.632,0.3763,0.2829,0.1692,8,14,0,0.3296,0.5822,8,0.3478,7,0.09714285714285713,0.5911354901566266,35.0,20.6897,0.269,54.345,0.696,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,54,10,10,10,0,0,0,0,4,3,4,0,1,0,0,0,0,0,0,0,0,0,B
11,B,0,0.6245,0.3806,0.2874,0.1775,4,10,0,0.3348,0.5859,8,0.5714,3,0.10142857142857144,0.587943944299689,35.0,20.578,0.2488,54.3339,0.696,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,58,11,11,11,0,0,0,0,5,4,5,0,1,0,0,0,0,0,0,0,0,0,B
