day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,label
1,B,0,0.6596,0.3628,0.2588,0.0112,3,15,0,0.2228,0.2853,0,0.3158,5,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B
2,B,0,0.6568,0.3637,0.2611,0.033,6,15,0,0.2533,0.3257,0,0.24,6,0.6752,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,B
3,B,0,0.6634,0.3642,0.2631,0.042,3,19,0,0.2796,0.3834,0,0.2609,6,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,B
4,B,0,0.6636,0.3673,0.2668,0.0502,3,12,0,0.2906,0.4226,0,0.3125,6,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,B
5,B,0,0.6684,0.3682,0.2691,0.0582,3,18,0,0.3164,0.4666,1,0.2727,6,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,B
6,B,0,0.6694,0.3702,0.2721,0.0692,4,14,0,0.3374,0.4875,3,0.3,6,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,B
7,B,0,0.6597,0.3741,0.2763,0.0872,6,11,0,0.3532,0.5181,3,0.3529,2,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,28,7,7,7,0,0,0,0,1,0,1,0,0,0,0,0,0,B
8,B,0,0.6516,0.3765,0.2796,0.108,7,15,0,0.3812,0.5212,7,0.2273,4,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,35,8,8,8,0,0,0,0,2,0,2,0,0,0,0,0,0,B
9,B,0,0.6433,0.3781,0.2823,0.132,8,17,0,0.4242,0.4702,7,0.28,2,0.696,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,43,9,9,9,0,1,0,0,3,0,3,0,0,0,0,0,0,B
10,B,0,0.6418,0.3838,0.2878,0.128,1,6,0,0.4241,0.4855,7,0.7143,1,0.696,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,44,10,10,10,0,1,0,0,4,1,4,0,1,0,0,0,0,B
