day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,mean_virtue,mean_eudaimonia,swf_utility,swf_eudaimonia,swf_penalty,social_welfare,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,nudge_N1,nudge_N2,nudge_N3,nudge_N4,nudge_N5,label
1,C,0,0.6596,0.3628,0.2588,0.0112,3,15,0,0.2225,0.2851,0,0.3158,5,0.01,0.5156382461708136,25.0,12.891,0.0,37.891,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-noN2
2,C,0,0.6568,0.3637,0.2611,0.033,6,15,0,0.2528,0.3261,0,0.24,6,0.022000000000000002,0.5360723016483337,25.0,13.4018,0.0,38.4018,0.6752,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-noN2
3,C,0,0.6634,0.3642,0.2631,0.042,3,19,0,0.2788,0.3844,0,0.2609,6,0.034,0.5548578429821823,25.0,13.8714,0.0,38.8714,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-noN2
4,C,0,0.6636,0.3673,0.2668,0.0502,3,12,0,0.2795,0.4109,0,0.3125,6,0.046000000000000006,0.5681786943702973,25.0,14.2045,0.0,39.2045,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,C-noN2
5,C,0,0.6684,0.3682,0.2691,0.0582,3,18,0,0.295,0.4471,0,0.2727,6,0.057999999999999996,0.5863497076988922,25.0,14.6587,0.0,39.6587,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,C-noN2
6,C,0,0.6694,0.3702,0.2721,0.0692,4,14,0,0.2945,0.4567,1,0.25,6,0.07,0.6028123263421217,25.0,15.0703,0.0,40.0703,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,C-noN2
7,C,0,0.6642,0.3733,0.2758,0.0835,5,12,0,0.2903,0.4967,1,0.3889,3,0.07600000000000001,0.616712146129453,25.0,15.4178,0.0,40.4178,0.696,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,C-noN2
8,C,0,0.6541,0.3753,0.2788,0.1092,8,16,0,0.3017,0.5105,2,0.2917,5,0.086,0.6355816010996257,25.0,15.8895,0.0,40.8895,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,35,8,8,8,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,5,0,0,C-noN2
9,C,0,0.6472,0.3773,0.2818,0.1307,7,16,0,0.3129,0.523,3,0.3043,2,0.09000000000000002,0.6527728973146237,25.0,16.3193,0.0,41.3193,0.696,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,42,9,9,9,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,6,0,0,C-noN2
10,C,0,0.6436,0.3812,0.2861,0.136,3,11,0,0.306,0.5268,3,0.2857,4,0.098,0.6635408328073821,25.0,16.5885,0.0,41.5885,0.696,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,45,10,10,10,0,0,0,0,3,0,3,0,1,0,0,0,7,0,0,7,0,0,C-noN2
