day,scenario,seed,mean_health,mean_sdh_risk,mean_isolation,mean_acute_dependence,acute_events_today,prevention_acts_today,social_links_today,mean_fatigue,gini_fatigue,burnout_count,top10_load_ratio,coop_acts_today,coordination_level,pending_tasks,M1,M2,M3,M4,M5,FC_A1,FC_A2,FC_A3,FC_B1,FC_B2,FC_B3,FC_B4,FC_C1,FC_C2,FC_C3,cum_acute_events,cum_M1,cum_M2,cum_M3,cum_M4,cum_M5,cum_FC_A1,cum_FC_A2,cum_FC_A3,cum_FC_B1,cum_FC_B2,cum_FC_B3,cum_FC_B4,cum_FC_C1,cum_FC_C2,cum_FC_C3,total_nudge_interventions,label
1,C,0,0.6596,0.3628,0.2588,0.0112,3,12,0,0.2225,0.2609,0,0.2105,5,0.5588,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
2,C,0,0.6559,0.363,0.2606,0.0367,7,14,0,0.2601,0.2592,0,0.1429,8,0.6948,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
3,C,0,0.6554,0.3627,0.2621,0.0607,7,17,0,0.3005,0.2276,0,0.1379,6,0.8281,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
4,C,0,0.6564,0.3647,0.2651,0.0722,4,12,0,0.3199,0.2485,0,0.2,5,0.9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
5,C,0,0.643,0.3663,0.2678,0.1027,9,12,0,0.3538,0.2648,0,0.1538,6,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
6,C,0,0.6419,0.3665,0.2696,0.1202,6,15,0,0.3901,0.2652,0,0.1481,7,0.99,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,36,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,C-onlyL1
7,C,0,0.6383,0.37,0.2736,0.1253,3,9,0,0.3975,0.2903,0,0.2667,4,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,39,7,7,7,0,0,0,0,1,0,0,0,0,1,0,0,1,C-onlyL1
8,C,0,0.6438,0.3693,0.2748,0.1377,5,14,0,0.4364,0.2961,0,0.1429,10,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,44,8,8,8,0,0,0,0,2,0,0,0,0,2,0,0,2,C-onlyL1
9,C,0,0.6328,0.374,0.2796,0.1535,6,8,0,0.4425,0.3197,1,0.2,2,0.99,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,50,9,9,9,0,0,0,0,3,0,0,0,0,3,0,0,3,C-onlyL1
10,C,0,0.6248,0.3763,0.2828,0.169,6,13,0,0.4663,0.3188,2,0.1905,3,0.99,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,56,10,10,10,0,0,0,0,4,0,1,0,1,4,0,0,4,C-onlyL1
11,C,0,0.6083,0.3802,0.2871,0.196,9,8,0,0.4893,0.3183,2,0.2,4,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,65,11,11,11,0,0,0,0,5,0,2,0,1,5,0,0,5,C-onlyL1
12,C,0,0.5993,0.3841,0.2913,0.211,6,11,0,0.505,0.3248,2,0.1765,1,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,71,12,12,12,0,0,0,0,6,0,3,0,1,6,0,0,6,C-onlyL1
13,C,0,0.6007,0.3838,0.2928,0.226,6,12,0,0.5498,0.3084,2,0.1429,11,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,77,13,13,13,0,0,0,0,7,0,4,0,1,7,0,0,7,C-onlyL1
14,C,0,0.6006,0.3866,0.2963,0.229,3,10,0,0.568,0.3179,3,0.2353,5,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,80,14,14,14,0,0,0,0,8,0,5,0,1,8,0,0,8,C-onlyL1
15,C,0,0.5888,0.3875,0.2986,0.2518,8,12,0,0.6104,0.2977,7,0.1481,8,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,88,15,15,15,0,0,0,0,9,0,6,0,1,9,0,0,9,C-onlyL1
16,C,0,0.5812,0.3913,0.3028,0.2625,5,9,0,0.6289,0.2892,9,0.25,3,0.99,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,93,16,16,16,0,0,0,0,10,0,7,0,1,10,0,0,10,C-onlyL1
17,C,0,0.5618,0.3948,0.3068,0.2935,10,10,0,0.6575,0.2589,8,0.2,3,0.99,3,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,103,17,17,17,0,0,0,0,11,0,8,0,1,11,0,0,11,C-onlyL1
18,C,0,0.5528,0.3987,0.3111,0.3085,6,11,0,0.6807,0.2427,11,0.1579,1,0.99,2,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,109,18,18,18,0,0,0,0,12,0,9,0,1,12,0,0,12,C-onlyL1
19,C,0,0.5308,0.4037,0.3161,0.3392,10,8,0,0.7,0.2257,13,0.2,1,0.99,9,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,119,19,19,19,0,0,0,0,13,0,10,0,1,13,0,0,13,C-onlyL1
20,C,0,0.5127,0.4087,0.3211,0.3635,9,8,0,0.7168,0.2088,13,0.2308,1,0.99,12,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,128,20,20,20,0,0,0,0,14,0,11,0,2,14,0,0,14,C-onlyL1
21,C,0,0.4899,0.4141,0.3263,0.394,11,6,0,0.7341,0.1912,14,0.2857,2,0.99,22,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,139,21,21,21,0,0,0,0,15,0,12,0,2,15,0,0,15,C-onlyL1
22,C,0,0.4887,0.418,0.3306,0.3985,4,7,0,0.752,0.1695,16,0.2353,5,0.99,24,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,143,22,22,22,0,0,0,0,16,0,13,0,2,16,0,0,16,C-onlyL1
23,C,0,0.4757,0.4226,0.3353,0.4127,6,7,0,0.7653,0.1579,16,0.2667,3,0.99,28,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,149,23,23,23,0,0,0,0,17,0,14,0,2,17,0,0,17,C-onlyL1
24,C,0,0.4633,0.4268,0.3398,0.429,7,10,0,0.7798,0.1459,17,0.2308,1,0.99,33,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,156,24,24,24,0,0,0,0,18,0,15,0,2,18,0,0,18,C-onlyL1
25,C,0,0.4447,0.4326,0.3453,0.449,9,6,0,0.7814,0.1384,18,0.25,0,0.9912,44,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,165,25,25,25,0,0,0,0,19,0,16,1,2,19,0,0,19,C-onlyL1
26,C,0,0.4304,0.4376,0.3503,0.4675,7,7,0,0.7922,0.1303,18,0.3077,2,0.9912,44,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,172,26,26,26,0,0,0,0,20,0,17,1,2,20,0,0,20,C-onlyL1
27,C,0,0.4119,0.443,0.3556,0.494,9,7,0,0.8039,0.1189,16,0.3,1,0.9912,53,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,181,27,27,26,0,0,0,0,21,0,18,1,2,21,0,0,21,C-onlyL1
28,C,0,0.3988,0.448,0.3606,0.5162,8,7,0,0.8176,0.1095,19,0.3636,2,0.9912,62,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,189,28,28,26,0,0,0,0,22,0,19,1,2,22,0,0,22,C-onlyL1
29,C,0,0.39,0.4537,0.3661,0.5252,5,5,0,0.8241,0.0986,18,0.4444,2,0.9912,73,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,194,29,29,26,0,0,0,1,23,1,20,2,2,23,0,0,23,C-onlyL1
30,C,0,0.3807,0.4598,0.3718,0.5315,4,4,0,0.8302,0.0852,17,0.3636,2,0.9912,72,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,198,30,30,26,0,0,0,2,24,1,21,3,3,24,0,0,24,C-onlyL1
31,C,0,0.3678,0.4656,0.3773,0.5502,8,5,0,0.8359,0.0794,19,0.3077,2,0.9912,80,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,206,31,31,26,0,0,0,3,25,1,22,4,3,25,0,0,25,C-onlyL1
